33;27;3679
33;554;215848
33;30;48289
33;64;15000
33;28;15100
33;45;161836
33;553;26150
33;29;70696
33;63;9361
33;7;32219
33;23;68890
33;1;26100
33;57;111192
33;77;27269
33;145;85536
33;104;89075
33;2;28600
33;4;119823
33;3;13641
33;106;123662
33;5;32250
33;43;200381
33;6;28049
33;34;18197
33;32;30726
33;33;31222
33;414;33130
33;9;6701
33;15;21871
33;11;5500
33;65;20319
33;105;44197
33;35;100615
33;42;7020
33;10;105239
33;48;3004
33;16;14670
33;146;13969
33;12;38214
33;73;5932
33;47;141266
33;36;103676
33;14;10875
33;19;8250
33;69;28355
33;37;7249
33;13;4497
33;107;74632
33;274;408865
33;17;9750
33;18;33791
33;147;13234
33;113;152751
33;20;65421
33;38;18600
33;66;99811
33;21;122549
33;39;23251
33;103;39889
33;40;92146
33;102;116771
33;41;15000
33;22;39437
33;359;54757
33;24;45251
33;67;120120
33;275;120642
33;46;130416
33;59;16741
33;26;19042
33;68;35088
33;25;45544
33;58;100175
33;44;144354
33;148;50307
33;149;15920
33;166;35040
33;49;18402
33;50;40030
33;273;307278
33;78;13440
33;51;12600
33;52;50400
33;70;126514
33;150;35226
33;71;55956
33;53;78289
33;301;61167
33;55;18595
33;204;80024
33;54;5240
33;56;18464
33;72;9760
33;61;41997
33;62;31892
33;114;46248
33;116;48888
33;60;168533
33;151;154159
33;495;70718
33;76;12201
33;79;10624
33;208;143944
33;74;12201
33;360;10549
33;75;15200
33;80;113747
33;152;17556
33;112;14796
33;81;63745
33;1495;129040
33;167;40542
33;83;8400
33;82;28702
33;873;19407
33;361;22649
33;87;11224
33;85;9500
33;86;150235
33;115;13139
33;84;136882
33;108;28020
33;153;30572
33;90;18000
33;89;12009
33;88;64492
33;109;4879
33;209;82812
33;91;100363
33;92;17453
33;154;211813
33;276;14820
33;496;25791
33;99;10216
33;155;20742
33;111;31868
33;110;48634
33;205;95250
33;96;101238
33;101;26065
33;98;92456
33;94;139617
33;95;120122
33;97;116117
33;93;102391
33;100;95796
33;156;49746
33;278;16728
33;117;16884
33;118;9026
33;157;109330
33;169;24821
33;119;10714
33;210;66905
33;557;134200
33;120;45200
33;122;27654
33;123;9080
33;206;175279
33;277;30840
33;121;7407
33;433;85398
33;125;37680
33;127;39990
33;124;77583
33;129;140402
33;279;25891
33;128;22501
33;126;13273
33;160;17250
33;130;27081
33;131;152658
33;133;10660
33;132;200554
33;134;19320
33;207;85127
33;168;15494
33;136;21729
33;135;25980
33;137;28597
33;211;35529
33;158;37353
33;161;145996
33;138;80577
33;139;89424
33;162;115037
33;159;168047
33;144;30320
33;143;111376
33;140;3480
33;142;15550
33;163;25502
33;141;6520
33;164;45691
33;165;33136
33;415;92620
33;171;41964
33;172;65951
33;170;17711
33;226;26425
33;173;62931
33;280;10745
33;362;42923
33;174;11660
33;175;52771
33;176;47163
33;281;12660
33;497;17700
33;177;47510
33;178;72651
33;212;195691
33;282;12864
33;179;12000
33;213;100991
33;214;93787
33;363;32003
33;180;10861
33;215;6450
33;216;13401
33;227;30005
33;181;13786
33;182;27224
33;283;21075
33;218;48497
33;183;101384
33;186;208614
33;184;163050
33;185;79344
33;217;14125
33;364;18281
33;187;214369
33;189;175682
33;190;27879
33;188;156227
33;191;4589
33;192;20000
33;219;40276
33;416;101251
33;193;15020
33;220;291984
33;286;100913
33;196;82473
33;194;11760
33;195;65200
33;197;105248
33;601;303366
33;198;169949
33;199;54702
33;200;355845
33;221;52851
33;202;63844
33;201;150652
33;203;110193
33;284;28501
33;228;131275
33;229;27890
33;285;25335
33;417;43956
33;225;43210
33;558;15319
33;302;38450
33;231;75776
33;230;55152
33;418;1640
33;303;15000
33;304;28435
33;232;138675
33;233;25430
33;419;71108
33;436;77692
33;234;18064
33;238;7501
33;498;29538
33;948;6829
33;235;14700
33;236;68801
33;366;14675
33;559;17801
33;237;61454
33;239;21307
33;499;26350
33;287;19396
33;240;96341
33;241;39139
33;288;5300
33;289;34409
33;242;36068
33;290;101690
33;244;92713
33;249;22590
33;243;47144
33;291;135028
33;367;15000
33;247;58215
33;245;27545
33;248;43840
33;246;39810
33;292;85309
33;250;99156
33;293;91118
33;1277;15015
33;256;11805
33;251;10175
33;252;79711
33;294;11153
33;368;16079
33;253;10549
33;254;28176
33;255;30979
33;602;85115
33;258;62149
33;259;2761
33;365;22176
33;306;17900
33;260;21276
33;257;39125
33;687;100177
33;223;50644
33;295;13622
33;224;24568
33;296;22171
33;369;11250
33;222;27315
33;261;78589
33;297;33270
33;500;43997
33;262;86174
33;560;90773
33;334;97750
33;263;115423
33;603;258782
33;264;95675
33;266;45914
33;265;10846
33;299;70521
33;298;43592
33;267;14641
33;269;186901
33;270;87910
33;268;276486
33;561;14077
33;271;63302
33;272;149017
33;300;11067
33;465;16900
33;305;53539
33;370;98833
33;949;15300
33;307;67791
33;308;78005
33;309;37884
33;310;21549
33;604;82791
33;311;41700
33;312;162378
33;371;13800
33;688;98356
33;313;23889
33;372;13476
33;501;14990
33;342;35830
33;314;110049
33;315;3725
33;421;11677
33;605;25509
33;316;22020
33;319;223365
33;373;56820
33;562;21631
33;317;38804
33;374;21822
33;563;21664
33;595;47569
33;318;18000
33;502;16480
33;375;75436
